country,Location code,SDMX code**,Type,Parent code,2022,2023,2024,2025
Saint Lucia,662,662,Country/Area,915,179.86,180.25,180.81,181.31
Guam,316,316,Country/Area,954,171.77,172.95,174.11,175.26
Kiribati,296,296,Country/Area,954,131.23,133.52,135.76,137.98
Grenada,308,308,Country/Area,915,125.44,126.18,126.89,127.55
Micronesia (Fed. States of),583,583,Country/Area,954,114.16,115.22,116.30,117.39
Jersey,832,832,Country/Area,924,110.78,111.80,112.84,113.89
Seychelles,690,690,Country/Area,910,107.12,107.66,108.26,108.84
Tonga,776,776,Country/Area,957,106.86,107.77,108.68,109.60
Aruba,533,533,Country/Area,915,106.45,106.28,106.18,106.04
Saint Vincent and the Grenadines,670,670,Country/Area,915,103.95,103.70,103.68,103.82
United States Virgin Islands,850,850,Country/Area,915,99.47,98.75,98.06,97.33
Antigua and Barbuda,28,28,Country/Area,915,93.76,94.30,94.82,95.32
Isle of Man,833,833,Country/Area,924,84.52,84.71,84.90,85.08
Andorra,20,20,Country/Area,925,79.82,80.09,80.34,80.58
Dominica,212,212,Country/Area,915,72.74,73.04,73.37,73.69
Cayman Islands,136,136,Country/Area,915,68.71,69.31,69.89,70.45
Bermuda,60,60,Country/Area,905,64.18,64.07,63.94,63.78
Guernsey,831,831,Country/Area,924,63.30,63.54,63.79,64.03
Greenland,304,304,Country/Area,905,56.47,56.64,56.79,56.92
Faroe Islands,234,234,Country/Area,924,53.09,53.27,53.44,53.62
Northern Mariana Islands,580,580,Country/Area,954,49.55,49.80,50.03,50.26
Saint Kitts and Nevis,659,659,Country/Area,915,47.66,47.76,47.85,47.94
Turks and Caicos Islands,796,796,Country/Area,915,45.70,46.06,46.43,46.80
American Samoa,16,16,Country/Area,957,44.27,43.91,43.54,43.16
Sint Maarten (Dutch part),534,534,Country/Area,915,44.18,44.22,44.31,44.40
Marshall Islands,584,584,Country/Area,954,41.57,42.00,42.42,42.82
Liechtenstein,438,438,Country/Area,926,39.33,39.58,39.82,40.05
Monaco,492,492,Country/Area,926,36.47,36.30,36.16,36.05
San Marino,674,674,Country/Area,925,33.66,33.64,33.61,33.58
Gibraltar,292,292,Country/Area,925,32.65,32.69,32.72,32.74
Saint Martin (French part),663,663,Country/Area,915,31.79,32.08,32.34,32.58
British Virgin Islands,92,92,Country/Area,915,31.31,31.54,31.76,31.98
"Bonaire, Sint Eustatius and Saba",535,535,Country/Area,915,27.03,27.15,27.27,27.40
Palau,585,585,Country/Area,954,18.05,18.06,18.05,18.04
Cook Islands,184,184,Country/Area,957,17.01,17.04,17.07,17.10
Anguilla,660,660,Country/Area,915,15.86,15.90,15.94,15.97
Nauru,520,520,Country/Area,954,12.67,12.78,12.88,12.98
Wallis and Futuna Islands,876,876,Country/Area,957,11.57,11.50,11.44,11.39
Tuvalu,798,798,Country/Area,957,11.31,11.40,11.48,11.56
Saint Barth�lemy,652,652,Country/Area,915,10.97,10.99,11.02,11.04
Saint Pierre and Miquelon,666,666,Country/Area,905,5.86,5.84,5.82,5.79
Saint Helena,654,654,Country/Area,914,5.37,5.31,5.25,5.20
Montserrat,500,500,Country/Area,915,4.39,4.39,4.37,4.36
Falkland Islands (Malvinas),238,238,Country/Area,931,3.78,3.79,3.80,3.82
Niue,570,570,Country/Area,957,1.93,1.94,1.93,1.94
Tokelau,772,772,Country/Area,957,1.87,1.89,1.91,1.93
Holy See,336,336,Country/Area,925,0.51,0.52,0.53,0.53
